Type,Count
E,0
EA,48
EC,0
EAA,0
EAC,4
ECA,5
EAAC,0
EAAA,0
EACA,0
EAAAA,0
EAACA,0
A,0
AA,0
AE,39
AC,5
AAE,0
AEC,8
ACE,2
AEAC,0
AAEC,0
AAAE,0
AEA,2
AEE,1
C,0
CE,2
CA,3
CAA,0
CEA,8
CAE,2
CEAA,0
CECAC,1
