Type,Count
E,0
EA,41
EC,0
EAA,8
EAC,3
ECA,2
EAAC,2
EAAA,3
EACA,1
EAAAA,1
EAACA,1
A,12
AA,2
AE,11
AC,0
AAE,1
AEC,1
ACE,1
AEAC,1
AAEC,1
AAAE,2
AEA,0
AEE,0
C,0
CE,0
CA,0
CAA,1
CEA,5
CAE,0
CEAA,1
CECAC,0
